impl,dtype,B,H,Hff,L,total_ms,total_std_ms,stage1_ms,stage2_ms,tflops,err_out_rel_l2,err_rel_max_norm,err_max_rel_elem
fused_single,bf16,4,1024,4096,128,0.1174751989543438,0.0009700737716226578,0.0878431998193264,0.027452800050377847,109.68189032825268,0.0033202698990403034,0.003809125024059107,2496.70068359375
fused_batched,bf16,4,1024,4096,128,0.05527680031955242,0.0008652763929484735,0.03827840015292168,0.027497599832713604,233.0978242863738,0.0033202698990403034,0.003809125024059107,2496.70068359375
fused_broadcast,bf16,4,1024,4096,128,0.049289599806070325,0.000619227649407884,0.03459839969873428,0.0227808004245162,261.4121830709841,0.0033203661200387675,0.003702688730437831,1199.8726806640625
eager,bf16,8,1024,4096,128,0.12181439995765686,0.0013806681741603045,0.12167359963059425,0.04077440053224564,211.5497329130027,0.0033262842264064427,0.0037664618853282764,3537.114990234375
fused_single,bf16,8,1024,4096,128,0.21224320083856582,0.0010816254220209777,0.16453759968280793,0.04131520017981529,121.41639248835469,0.0033251191798282422,0.0037664618853282764,3537.114990234375
fused_batched,bf16,8,1024,4096,128,0.0964639998972416,0.0009612137322246621,0.06665599942207337,0.041075199842453,267.1442590339538,0.0033251191798282422,0.0037664618853282764,3537.114990234375
fused_broadcast,bf16,8,1024,4096,128,0.07544319927692414,0.0011420008667527724,0.057443200051784514,0.026758399978280067,341.5788834909899,0.0033205412852734774,0.0038724504890770214,7276.876953125
eager,bf16,16,1024,4096,128,0.2123551994562149,0.0010132138417159682,0.2123775988817215,0.06667839959263802,242.70471212373988,0.0033216701472290927,0.0038594177643112445,1968.74462890625
fused_single,bf16,16,1024,4096,128,0.40443200170993804,0.002048953031093009,0.3150303989648819,0.06638720035552978,127.43701619577728,0.003319743606629104,0.0038594177643112445,1693.8966064453125
fused_batched,bf16,16,1024,4096,128,0.17729600071907042,0.0007683315434781732,0.12048960030078888,0.06656639948487282,290.6980831094193,0.003319743606629104,0.0038594177643112445,1693.8966064453125
fused_broadcast,bf16,16,1024,4096,128,0.1321152001619339,0.00095336326377698,0.10880960151553154,0.03568639978766441,390.1111112788519,0.0033267694098885812,0.003740912655518111,1373.481689453125
eager,bf16,32,1024,4096,128,0.4045727998018265,0.001293743408397375,0.4035263955593109,0.11862399950623512,254.7853319711352,0.0033230339604323244,0.00470174466195931,9220.8935546875
fused_single,bf16,32,1024,4096,128,0.7986112058162689,0.001993960996143037,0.6290207982063294,0.1188672013580799,129.07308882379337,0.003321989490007138,0.00470174466195931,8722.5205078125
fused_batched,bf16,32,1024,4096,128,0.33776640295982363,0.000811764353268296,0.2292543962597847,0.11842239871621132,305.1790059660285,0.003321989490007138,0.00470174466195931,8722.5205078125
fused_broadcast,bf16,32,1024,4096,128,0.24536639750003814,0.0012683997208760987,0.19565439820289612,0.05684800036251545,420.1032258460899,0.003322354925779104,0.00391490962023286,7790.5556640625
eager,bf16,1,1024,4096,512,0.052316800132393836,0.0009141585515324239,0.05219840034842491,0.021747200191020964,246.2861232986963,0.003320177620645155,0.0034331865008005043,332.0815124511719
fused_single,bf16,1,1024,4096,512,0.04509120024740696,0.0007390777150585775,0.03185280039906502,0.021116800047457217,285.7520273867841,0.0033180855053940752,0.0034331865008005043,332.0815124511719
eager,bf16,2,1024,4096,512,0.07885440066456795,0.0012755298408501006,0.07834560051560402,0.027193599939346315,326.8023541973261,0.003330672493301719,0.0036710166404449636,2272.19091796875
fused_single,bf16,2,1024,4096,512,0.08930559903383255,0.0006968192200838613,0.06002880036830902,0.027923199720680712,288.5575378788665,0.003328284306023381,0.0036710166404449636,2300.75927734375
fused_batched,bf16,2,1024,4096,512,0.07201280072331429,0.0006754961073747141,0.05371199958026409,0.02807040009647608,357.8503199037081,0.003328284306023381,0.0036710166404449636,2300.75927734375
fused_broadcast,bf16,2,1024,4096,512,0.07174400016665458,0.001338740364038147,0.05318399965763092,0.027052799798548223,359.1910642860611,0.0033271710849399993,0.0038851756993322976,4946.11669921875
eager,bf16,4,1024,4096,512,0.12795519977807998,0.0011946870679118112,0.12783679813146592,0.038300799950957296,402.7941626552738,0.003325889924163962,0.004104068962096033,87113.9296875
fused_single,bf16,4,1024,4096,512,0.1542720004916191,0.0007860102706977705,0.1090495988726616,0.03861760012805462,334.08270708721324,0.003325003618341775,0.004104068962096033,99901.4375
fused_batched,bf16,4,1024,4096,512,0.12427200004458427,0.0006352270601167284,0.09749119952321053,0.038447999954223634,414.7322609558828,0.003325003618341775,0.004104068962096033,99901.4375
fused_broadcast,bf16,4,1024,4096,512,0.122707200050354,0.0004645091848725153,0.09641919881105424,0.03566079959273338,420.0210544356832,0.0033285086720409103,0.0033237649786520217,8701.6123046875
eager,bf16,8,1024,4096,512,0.23244799971580504,0.0013511795625489951,0.23230720013380052,0.060211199894547464,443.45064371397655,0.0033265230357776114,0.003991701979136966,5357.0107421875
fused_single,bf16,8,1024,4096,512,0.28502720296382905,0.0013764095003661633,0.20494399815797806,0.06059519946575165,361.64693766819556,0.0033253624123459296,0.003991701979136966,5334.8701171875
fused_batched,bf16,8,1024,4096,512,0.2309119999408722,0.0005944719794765298,0.1855232000350952,0.06059199944138527,446.40042583492703,0.0033253624123459296,0.003991701979136966,5334.8701171875
fused_broadcast,bf16,8,1024,4096,512,0.23009600043296813,0.0008836275302327144,0.1829695999622345,0.05750400051474571,447.98351518512885,0.00332410022047283,0.0039591210924548835,13331.8134765625
eager,bf16,16,1024,4096,512,0.43559359908103945,0.0012742125395260883,0.4348192006349564,0.10952000096440315,473.28158779864333,0.0033232642688225977,0.003949329235743302,9333.5048828125
fused_single,bf16,16,1024,4096,512,0.5586335957050323,0.0018499879235474427,0.40424320101737976,0.10958399921655655,369.0405156313853,0.0033216912317051693,0.003696917153468439,10241.025390625
fused_batched,bf16,16,1024,4096,512,0.44767680764198303,0.0006832376514409405,0.3690176010131836,0.1130656011402607,460.50728268431857,0.0033216912317051693,0.003696917153468439,10241.025390625
fused_broadcast,bf16,16,1024,4096,512,0.4596479952335358,0.0009571472144004529,0.3659199982881546,0.1065887987613678,448.5137155950304,0.003321903878814197,0.0037174874526504113,5598.69775390625
eager,bf16,32,1024,4096,512,0.8578943967819214,0.0025318837747802096,0.8607743978500366,0.21617919951677322,480.61493578074027,0.0033242632976449326,0.0038809532245443717,17083.84375
fused_single,bf16,32,1024,4096,512,1.2004799962043762,0.0024721450248738853,0.8738175988197326,0.21267519891262054,343.46000076606435,0.00332281418749009,0.0038809532245443717,17083.84375
fused_batched,bf16,32,1024,4096,512,0.921532791852951,0.009648610438082196,0.7180544018745423,0.21194240152835847,447.4250553655755,0.00332281418749009,0.0038809532245443717,17083.84375
fused_broadcast,bf16,32,1024,4096,512,0.9434559941291809,0.0009101129116122483,0.7601184129714966,0.20978560000658036,437.0281846548365,0.0033250640863159353,0.0037617235600736977,69343.5
